product_id,product_name,brand,category,image_url,ingredient_list_raw,extracted_ingredients,health_category,allergen_flags,nutrition_summary,health_score,region
ns_00011,Amul Confectionery Mix 12,Amul,confectionery,https://static.openfoodfacts.org/images/products/1000000000011/front_en.400.jpg,"sugar, cocoa butter, milk powder, fiber, high fructose corn syrup, sorbitol","[""sugar"", ""cocoa butter"", ""milk powder"", ""fiber"", ""high fructose corn syrup"", ""sorbitol""]",Harmful,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": true, ""egg"": false}","{""calories"": 547, ""sugar_g"": 12.7, ""sodium_mg"": 426, ""fat_g"": 8.9, ""protein_g"": 5.4}",25,India
ns_00012,Parle Bakery Mix 13,Parle,bakery,https://static.openfoodfacts.org/images/products/1000000000012/front_en.400.jpg,"wheat flour, sugar, vegetable oil, monosodium glutamate, oats, fruit","[""wheat flour"", ""sugar"", ""vegetable oil"", ""monosodium glutamate"", ""oats"", ""fruit""]",Harmful,"{""gluten"": false, ""nuts"": true, ""dairy"": false, ""soy"": false, ""sesame"": true, ""egg"": false}","{""calories"": 273, ""sugar_g"": 27.1, ""sodium_mg"": 370, ""fat_g"": 27.0, ""protein_g"": 10.6}",34,India
ns_00013,Tata Snacks Mix 14,Tata,snacks,https://static.openfoodfacts.org/images/products/1000000000013/front_en.400.jpg,"potato, vegetable oil (palm), salt, sodium benzoate, trans fat, vitamin","[""potato"", ""vegetable oil (palm)"", ""salt"", ""sodium benzoate"", ""trans fat"", ""vitamin""]",Harmful,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": true}","{""calories"": 460, ""sugar_g"": 11.8, ""sodium_mg"": 259, ""fat_g"": 9.3, ""protein_g"": 11.9}",40,India
ns_00014,Nilgiris Confectionery Mix 15,Nilgiris,confectionery,https://static.openfoodfacts.org/images/products/1000000000014/front_en.400.jpg,"sugar, cocoa butter, milk powder, monosodium glutamate, fiber, olive oil","[""sugar"", ""cocoa butter"", ""milk powder"", ""monosodium glutamate"", ""fiber"", ""olive oil""]",Harmful,"{""gluten"": false, ""nuts"": false, ""dairy"": true, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 178, ""sugar_g"": 12.1, ""sodium_mg"": 814, ""fat_g"": 24.9, ""protein_g"": 16.0}",32,India
ns_00015,Golden Harvest Frozen Mix 16,Golden Harvest,frozen,https://static.openfoodfacts.org/images/products/1000000000015/front_en.400.jpg,"vegetables, vegetable oil, salt, fruit, fruit, whole grain","[""vegetables"", ""vegetable oil"", ""salt"", ""fruit"", ""fruit"", ""whole grain""]",Neutral,"{""gluten"": true, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 118, ""sugar_g"": 18.0, ""sodium_mg"": 504, ""fat_g"": 11.7, ""protein_g"": 15.8}",59,India
ns_00016,Haldiram's Beverages Mix 17,Haldiram's,beverages,https://static.openfoodfacts.org/images/products/1000000000016/front_en.400.jpg,"water, sugar, citric acid, high fructose corn syrup, fruit, artificial flavour","[""water"", ""sugar"", ""citric acid"", ""high fructose corn syrup"", ""fruit"", ""artificial flavour""]",Harmful,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 427, ""sugar_g"": 18.1, ""sodium_mg"": 80, ""fat_g"": 6.3, ""protein_g"": 8.4}",26,India
ns_00017,Tata Frozen Mix 18,Tata,frozen,https://static.openfoodfacts.org/images/products/1000000000017/front_en.400.jpg,"vegetables, vegetable oil, salt, sorbitol, protein, whole grain","[""vegetables"", ""vegetable oil"", ""salt"", ""sorbitol"", ""protein"", ""whole grain""]",Harmful,"{""gluten"": false, ""nuts"": false, ""dairy"": true, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 58, ""sugar_g"": 16.3, ""sodium_mg"": 721, ""fat_g"": 8.7, ""protein_g"": 5.1}",44,India
ns_00018,Haldiram's Ready_Meals Mix 19,Haldiram's,ready_meals,https://static.openfoodfacts.org/images/products/1000000000018/front_en.400.jpg,"rice, vegetable oil, salt, vegetable, lentil, oats","[""rice"", ""vegetable oil"", ""salt"", ""vegetable"", ""lentil"", ""oats""]",Neutral,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 430, ""sugar_g"": 1.9, ""sodium_mg"": 452, ""fat_g"": 11.4, ""protein_g"": 7.1}",69,India
ns_00019,Kohinoor Condiments Mix 20,Kohinoor,condiments,https://static.openfoodfacts.org/images/products/1000000000019/front_en.400.jpg,"chili, salt, vinegar, trans fat, oats, oats","[""chili"", ""salt"", ""vinegar"", ""trans fat"", ""oats"", ""oats""]",Harmful,"{""gluten"": true, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 42, ""sugar_g"": 6.6, ""sodium_mg"": 735, ""fat_g"": 20.5, ""protein_g"": 7.4}",43,India
ns_00020,ITC Confectionery Mix 21,ITC,confectionery,https://static.openfoodfacts.org/images/products/1000000000020/front_en.400.jpg,"sugar, cocoa butter, milk powder, sodium nitrate, whole grain, high fructose corn syrup","[""sugar"", ""cocoa butter"", ""milk powder"", ""sodium nitrate"", ""whole grain"", ""high fructose corn syrup""]",Harmful,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": true, ""sesame"": false, ""egg"": false}","{""calories"": 259, ""sugar_g"": 16.2, ""sodium_mg"": 308, ""fat_g"": 33.7, ""protein_g"": 17.9}",25,India
ns_00021,Golden Harvest Dairy Mix 22,Golden Harvest,dairy,https://static.openfoodfacts.org/images/products/1000000000021/front_en.400.jpg,"milk, milk solids, stabiliser (E412), fruit, preservative, olive oil","[""milk"", ""milk solids"", ""stabiliser (E412)"", ""fruit"", ""preservative"", ""olive oil""]",Harmful,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": true}","{""calories"": 539, ""sugar_g"": 29.7, ""sodium_mg"": 594, ""fat_g"": 24.4, ""protein_g"": 2.0}",40,India
ns_00022,Nilgiris Cereals Mix 23,Nilgiris,cereals,https://static.openfoodfacts.org/images/products/1000000000022/front_en.400.jpg,"oats, sugar, malted barley, oats, fiber, fruit","[""oats"", ""sugar"", ""malted barley"", ""oats"", ""fiber"", ""fruit""]",Neutral,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 90, ""sugar_g"": 16.5, ""sodium_mg"": 615, ""fat_g"": 9.1, ""protein_g"": 9.2}",46,India
ns_00023,MDH Cereals Mix 24,MDH,cereals,https://static.openfoodfacts.org/images/products/1000000000023/front_en.400.jpg,"oats, sugar, malted barley, monosodium glutamate, sugar, vitamin","[""oats"", ""sugar"", ""malted barley"", ""monosodium glutamate"", ""sugar"", ""vitamin""]",Harmful,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 488, ""sugar_g"": 25.4, ""sodium_mg"": 466, ""fat_g"": 27.3, ""protein_g"": 2.2}",29,India
ns_00024,Tata Cereals Mix 25,Tata,cereals,https://static.openfoodfacts.org/images/products/1000000000024/front_en.400.jpg,"oats, sugar, malted barley, sorbitol, fiber, oats","[""oats"", ""sugar"", ""malted barley"", ""sorbitol"", ""fiber"", ""oats""]",Harmful,"{""gluten"": true, ""nuts"": false, ""dairy"": true, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 456, ""sugar_g"": 17.6, ""sodium_mg"": 53, ""fat_g"": 12.1, ""protein_g"": 11.2}",42,India
ns_00025,MDH Bakery Mix 26,MDH,bakery,https://static.openfoodfacts.org/images/products/1000000000025/front_en.400.jpg,"wheat flour, sugar, vegetable oil, olive oil, vitamin, oats","[""wheat flour"", ""sugar"", ""vegetable oil"", ""olive oil"", ""vitamin"", ""oats""]",Neutral,"{""gluten"": true, ""nuts"": true, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 326, ""sugar_g"": 27.1, ""sodium_mg"": 461, ""fat_g"": 33.8, ""protein_g"": 16.9}",47,India
ns_00026,ITC Confectionery Mix 27,ITC,confectionery,https://static.openfoodfacts.org/images/products/1000000000026/front_en.400.jpg,"sugar, cocoa butter, milk powder, lentil, artificial flavour, vitamin","[""sugar"", ""cocoa butter"", ""milk powder"", ""lentil"", ""artificial flavour"", ""vitamin""]",Neutral,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 518, ""sugar_g"": 1.5, ""sodium_mg"": 77, ""fat_g"": 10.0, ""protein_g"": 7.6}",52,India
ns_00027,Reliance Fresh Cereals Mix 28,Reliance Fresh,cereals,https://static.openfoodfacts.org/images/products/1000000000027/front_en.400.jpg,"oats, sugar, malted barley, sugar, olive oil, preservative","[""oats"", ""sugar"", ""malted barley"", ""sugar"", ""olive oil"", ""preservative""]",Harmful,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 119, ""sugar_g"": 17.6, ""sodium_mg"": 197, ""fat_g"": 8.6, ""protein_g"": 19.4}",39,India
ns_00028,Reliance Fresh Frozen Mix 29,Reliance Fresh,frozen,https://static.openfoodfacts.org/images/products/1000000000028/front_en.400.jpg,"vegetables, vegetable oil, salt, lentil, protein, lentil","[""vegetables"", ""vegetable oil"", ""salt"", ""lentil"", ""protein"", ""lentil""]",Neutral,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 252, ""sugar_g"": 21.3, ""sodium_mg"": 32, ""fat_g"": 17.1, ""protein_g"": 14.9}",67,India
ns_00029,Kohinoor Confectionery Mix 30,Kohinoor,confectionery,https://static.openfoodfacts.org/images/products/1000000000029/front_en.400.jpg,"sugar, cocoa butter, milk powder, fruit, fruit, vegetable","[""sugar"", ""cocoa butter"", ""milk powder"", ""fruit"", ""fruit"", ""vegetable""]",Neutral,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": true, ""egg"": true}","{""calories"": 486, ""sugar_g"": 29.1, ""sodium_mg"": 246, ""fat_g"": 14.4, ""protein_g"": 13.2}",47,India
ns_00030,Golden Harvest Sauces Mix 31,Golden Harvest,sauces,https://static.openfoodfacts.org/images/products/1000000000030/front_en.400.jpg,"tomato paste, vinegar, salt, high fructose corn syrup, high fructose corn syrup, oats","[""tomato paste"", ""vinegar"", ""salt"", ""high fructose corn syrup"", ""high fructose corn syrup"", ""oats""]",Harmful,"{""gluten"": false, ""nuts"": true, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 204, ""sugar_g"": 18.0, ""sodium_mg"": 561, ""fat_g"": 29.2, ""protein_g"": 5.8}",40,India
ns_00031,Sunrise Foods Sauces Mix 32,Sunrise Foods,sauces,https://static.openfoodfacts.org/images/products/1000000000031/front_en.400.jpg,"tomato paste, vinegar, salt, oats, trans fat, olive oil","[""tomato paste"", ""vinegar"", ""salt"", ""oats"", ""trans fat"", ""olive oil""]",Harmful,"{""gluten"": true, ""nuts"": false, ""dairy"": false, ""soy"": true, ""sesame"": false, ""egg"": false}","{""calories"": 74, ""sugar_g"": 27.2, ""sodium_mg"": 528, ""fat_g"": 29.6, ""protein_g"": 5.5}",39,India
ns_00032,Tata Confectionery Mix 33,Tata,confectionery,https://static.openfoodfacts.org/images/products/1000000000032/front_en.400.jpg,"sugar, cocoa butter, milk powder, vitamin, sugar, fiber","[""sugar"", ""cocoa butter"", ""milk powder"", ""vitamin"", ""sugar"", ""fiber""]",Neutral,"{""gluten"": false, ""nuts"": true, ""dairy"": false, ""soy"": false, ""sesame"": true, ""egg"": false}","{""calories"": 94, ""sugar_g"": 17.7, ""sodium_mg"": 452, ""fat_g"": 19.3, ""protein_g"": 12.7}",49,India
ns_00033,Organic Valley Dairy Mix 34,Organic Valley,dairy,https://static.openfoodfacts.org/images/products/1000000000033/front_en.400.jpg,"milk, milk solids, stabiliser (E412), oats, lentil, sorbitol","[""milk"", ""milk solids"", ""stabiliser (E412)"", ""oats"", ""lentil"", ""sorbitol""]",Neutral,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": true}","{""calories"": 121, ""sugar_g"": 13.9, ""sodium_mg"": 136, ""fat_g"": 6.0, ""protein_g"": 9.1}",57,India
ns_00034,Patanjali Ready_Meals Mix 35,Patanjali,ready_meals,https://static.openfoodfacts.org/images/products/1000000000034/front_en.400.jpg,"rice, vegetable oil, salt, whole grain, olive oil, trans fat","[""rice"", ""vegetable oil"", ""salt"", ""whole grain"", ""olive oil"", ""trans fat""]",Neutral,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": true, ""egg"": false}","{""calories"": 373, ""sugar_g"": 2.8, ""sodium_mg"": 216, ""fat_g"": 32.4, ""protein_g"": 9.2}",61,India
ns_00035,Tata Bakery Mix 36,Tata,bakery,https://static.openfoodfacts.org/images/products/1000000000035/front_en.400.jpg,"wheat flour, sugar, vegetable oil, sodium benzoate, fruit, fiber","[""wheat flour"", ""sugar"", ""vegetable oil"", ""sodium benzoate"", ""fruit"", ""fiber""]",Harmful,"{""gluten"": true, ""nuts"": true, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": true}","{""calories"": 84, ""sugar_g"": 20.4, ""sodium_mg"": 443, ""fat_g"": 33.5, ""protein_g"": 11.3}",35,India
ns_00036,Tata Beverages Mix 37,Tata,beverages,https://static.openfoodfacts.org/images/products/1000000000036/front_en.400.jpg,"water, sugar, citric acid, sorbitol, vitamin, fruit","[""water"", ""sugar"", ""citric acid"", ""sorbitol"", ""vitamin"", ""fruit""]",Harmful,"{""gluten"": false, ""nuts"": false, ""dairy"": true, ""soy"": true, ""sesame"": false, ""egg"": false}","{""calories"": 308, ""sugar_g"": 10.1, ""sodium_mg"": 711, ""fat_g"": 20.5, ""protein_g"": 18.6}",32,India
ns_00037,Haldiram's Condiments Mix 38,Haldiram's,condiments,https://static.openfoodfacts.org/images/products/1000000000037/front_en.400.jpg,"chili, salt, vinegar, monosodium glutamate, fiber, fiber","[""chili"", ""salt"", ""vinegar"", ""monosodium glutamate"", ""fiber"", ""fiber""]",Harmful,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": true, ""sesame"": false, ""egg"": false}","{""calories"": 473, ""sugar_g"": 7.9, ""sodium_mg"": 735, ""fat_g"": 23.7, ""protein_g"": 11.2}",42,India
ns_00038,Amul Dairy Mix 39,Amul,dairy,https://static.openfoodfacts.org/images/products/1000000000038/front_en.400.jpg,"milk, milk solids, stabiliser (E412), lentil, sugar, sorbitol","[""milk"", ""milk solids"", ""stabiliser (E412)"", ""lentil"", ""sugar"", ""sorbitol""]",Harmful,"{""gluten"": false, ""nuts"": true, ""dairy"": false, ""soy"": false, ""sesame"": true, ""egg"": false}","{""calories"": 55, ""sugar_g"": 25.3, ""sodium_mg"": 544, ""fat_g"": 26.0, ""protein_g"": 1.6}",28,India
ns_00039,Reliance Fresh Sauces Mix 40,Reliance Fresh,sauces,https://static.openfoodfacts.org/images/products/1000000000039/front_en.400.jpg,"tomato paste, vinegar, salt, olive oil, whole grain, high fructose corn syrup","[""tomato paste"", ""vinegar"", ""salt"", ""olive oil"", ""whole grain"", ""high fructose corn syrup""]",Neutral,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": true}","{""calories"": 401, ""sugar_g"": 23.2, ""sodium_mg"": 250, ""fat_g"": 11.4, ""protein_g"": 14.9}",47,India
ns_00040,ITC Snacks Mix 41,ITC,snacks,https://static.openfoodfacts.org/images/products/1000000000040/front_en.400.jpg,"potato, vegetable oil (palm), salt, oats, lentil, milk","[""potato"", ""vegetable oil (palm)"", ""salt"", ""oats"", ""lentil"", ""milk""]",Neutral,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": true, ""sesame"": false, ""egg"": false}","{""calories"": 504, ""sugar_g"": 11.6, ""sodium_mg"": 475, ""fat_g"": 22.8, ""protein_g"": 17.4}",66,India
ns_00041,Organic Valley Beverages Mix 42,Organic Valley,beverages,https://static.openfoodfacts.org/images/products/1000000000041/front_en.400.jpg,"water, sugar, citric acid, sorbitol, lentil, olive oil","[""water"", ""sugar"", ""citric acid"", ""sorbitol"", ""lentil"", ""olive oil""]",Harmful,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": true, ""egg"": false}","{""calories"": 33, ""sugar_g"": 18.6, ""sodium_mg"": 499, ""fat_g"": 24.4, ""protein_g"": 15.8}",32,India
ns_00042,Sunrise Foods Frozen Mix 43,Sunrise Foods,frozen,https://static.openfoodfacts.org/images/products/1000000000042/front_en.400.jpg,"vegetables, vegetable oil, salt, oats, fiber, sodium nitrate","[""vegetables"", ""vegetable oil"", ""salt"", ""oats"", ""fiber"", ""sodium nitrate""]",Neutral,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": true}","{""calories"": 288, ""sugar_g"": 25.2, ""sodium_mg"": 259, ""fat_g"": 3.1, ""protein_g"": 4.1}",49,India
ns_00043,Organic Valley Bakery Mix 44,Organic Valley,bakery,https://static.openfoodfacts.org/images/products/1000000000043/front_en.400.jpg,"wheat flour, sugar, vegetable oil, fiber, sugar, olive oil","[""wheat flour"", ""sugar"", ""vegetable oil"", ""fiber"", ""sugar"", ""olive oil""]",Neutral,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": true, ""sesame"": false, ""egg"": true}","{""calories"": 407, ""sugar_g"": 6.7, ""sodium_mg"": 262, ""fat_g"": 19.3, ""protein_g"": 7.8}",58,India
ns_00044,Britannia Beverages Mix 45,Britannia,beverages,https://static.openfoodfacts.org/images/products/1000000000044/front_en.400.jpg,"water, sugar, citric acid, fruit, lentil, olive oil","[""water"", ""sugar"", ""citric acid"", ""fruit"", ""lentil"", ""olive oil""]",Neutral,"{""gluten"": false, ""nuts"": true, ""dairy"": false, ""soy"": false, ""sesame"": true, ""egg"": false}","{""calories"": 536, ""sugar_g"": 4.2, ""sodium_mg"": 143, ""fat_g"": 11.3, ""protein_g"": 13.5}",62,India
ns_00045,ITC Condiments Mix 46,ITC,condiments,https://static.openfoodfacts.org/images/products/1000000000045/front_en.400.jpg,"chili, salt, vinegar, vegetable, fiber, sodium nitrate","[""chili"", ""salt"", ""vinegar"", ""vegetable"", ""fiber"", ""sodium nitrate""]",Harmful,"{""gluten"": true, ""nuts"": true, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 527, ""sugar_g"": 14.6, ""sodium_mg"": 816, ""fat_g"": 34.8, ""protein_g"": 8.4}",40,India
ns_00046,Nilgiris Beverages Mix 47,Nilgiris,beverages,https://static.openfoodfacts.org/images/products/1000000000046/front_en.400.jpg,"water, sugar, citric acid, protein, milk, fiber","[""water"", ""sugar"", ""citric acid"", ""protein"", ""milk"", ""fiber""]",Harmful,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 388, ""sugar_g"": 28.1, ""sodium_mg"": 702, ""fat_g"": 8.9, ""protein_g"": 12.7}",38,India
ns_00047,Amul Cereals Mix 48,Amul,cereals,https://static.openfoodfacts.org/images/products/1000000000047/front_en.400.jpg,"oats, sugar, malted barley, olive oil, fruit, high fructose corn syrup","[""oats"", ""sugar"", ""malted barley"", ""olive oil"", ""fruit"", ""high fructose corn syrup""]",Harmful,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 359, ""sugar_g"": 28.4, ""sodium_mg"": 692, ""fat_g"": 28.1, ""protein_g"": 17.4}",26,India
ns_00048,Golden Harvest Dairy Mix 49,Golden Harvest,dairy,https://static.openfoodfacts.org/images/products/1000000000048/front_en.400.jpg,"milk, milk solids, stabiliser (E412), fiber, monosodium glutamate, fruit","[""milk"", ""milk solids"", ""stabiliser (E412)"", ""fiber"", ""monosodium glutamate"", ""fruit""]",Neutral,"{""gluten"": true, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 202, ""sugar_g"": 3.6, ""sodium_mg"": 195, ""fat_g"": 21.7, ""protein_g"": 18.7}",61,India
ns_00049,Reliance Fresh Snacks Mix 50,Reliance Fresh,snacks,https://static.openfoodfacts.org/images/products/1000000000049/front_en.400.jpg,"potato, vegetable oil (palm), salt, fruit, sugar, fruit","[""potato"", ""vegetable oil (palm)"", ""salt"", ""fruit"", ""sugar"", ""fruit""]",Harmful,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 530, ""sugar_g"": 5.4, ""sodium_mg"": 874, ""fat_g"": 21.4, ""protein_g"": 3.3}",43,India
ns_00050,Nilgiris Snacks Mix 51,Nilgiris,snacks,https://static.openfoodfacts.org/images/products/1000000000050/front_en.400.jpg,"potato, vegetable oil (palm), salt, whole grain, protein, sodium benzoate","[""potato"", ""vegetable oil (palm)"", ""salt"", ""whole grain"", ""protein"", ""sodium benzoate""]",Neutral,"{""gluten"": true, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 126, ""sugar_g"": 20.1, ""sodium_mg"": 386, ""fat_g"": 7.7, ""protein_g"": 16.2}",49,India
ns_00051,Kohinoor Beverages Mix 52,Kohinoor,beverages,https://static.openfoodfacts.org/images/products/1000000000051/front_en.400.jpg,"water, sugar, citric acid, oats, milk, sorbitol","[""water"", ""sugar"", ""citric acid"", ""oats"", ""milk"", ""sorbitol""]",Harmful,"{""gluten"": false, ""nuts"": false, ""dairy"": false, ""soy"": false, ""sesame"": false, ""egg"": false}","{""calories"": 378, ""sugar_g"": 16.1, ""sodium_mg"": 63, ""fat_g"": 13.9, ""protein_g"": 3.0}",42,India
